Base Character,Variant
"a","A"
"ā","Ā"
"e","E"
"ē","Ē"
"i","I"
"ī","Ī"
"o","O"
"ō","Ō"
"u","U"
"ū","Ū"
"b","B"
"ch","Ch"
"ch’","Ch’"
"d","D"
"dl","Dl"
"dz","Dz"
"dẕ","Dẕ"
"g","G"
"gh","Gh"
"h","H"
"j","J"
"k","K"
"k’","K’"
"kh","Kh"
"l","L"
"ł","Ł"
"m","M"
"n","N"
"nh","Nh"
"p","P"
"s","S"
"s̱","S̱"
"sh","Sh"
"t","T"
"t’","T’"
"tl","Tl"
"tl’","Tl’"
"ts","Ts"
"ts’","Ts’"
"ts̱","Ts̱"
"ts̱’","Ts̱’"
"w","W"
"y","Y"
"yh","Yh"
"z","Z"
"ẕ","Ẕ"
