Base Character,Variant
"a","A"
"aa","AA"
"ch","CH"
"ch'","CH'"
"e","E"
"ee","EE"
"h","H"
"hw","HW"
"i","I"
"ii","II"
"k","K"
"kw","KW"
"kw'","KW'"
"l","L"
"lh","LH"
"m","M"
"n","N"
"o","O"
"oo","OO"
"ou","OU"
"p","P"
"p'","P'"
"q","Q"
"q'","Q'"
"qw","QW"
"qw'","QW'"
"s","S"
"sh","SH"
"t","T"
"t'","T'"
"th","TH"
"tl'","TL'"
"ts","TS"
"ts'","TS'"
"tth","TTH"
"tth'","TTH'"
"u","U"
"w","W"
"x","X"
"xw","XW"
"y","Y"
