Base Character,Variant
"a","A"
"c","C"
"c̓","C̓"
"č","Č"
"č̓","Č̓"
"e","E"
"ey","Ey"
"əw̓","Əw̓"
"h","H"
"i","I"
"kʷ","Kʷ"
"k̓ʷ","K̓ʷ"
"l","L"
"ɬ","Ɬ"
"m","M"
"n","N"
"ŋ","Ŋ"
"p","P"
"p̓","P̓"
"q","Q"
"qʷ","Qʷ"
"q̓","Q̓"
"q̓ʷ","Q̓ʷ"
"s","S"
"š","Š"
"t","T"
"t̓","T̓"
"w","W"
"xʷ","Xʷ"
"x̣","X̣"
"x̣ʷ","X̣ʷ"
"y","Y"
