Slug, FirstVoices Site Name, URL, Language
"snuneymuxw","Snuneymuxw First Nation","https://firstvoices.com/snuneymuxw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"southern-tutchone","Southern Tutchone","https://firstvoices.com/southern-tutchone","Southern Tutchone"
"splatsin","Splatsin (Eastern dialect)","https://firstvoices.com/splatsin","Secwepemctsín"
"squamish","Sḵwx̱wú7mesh","https://firstvoices.com/squamish","Sḵwx̱wú7mesh sníchim"
"stzuminus","Stz’uminus","https://firstvoices.com/stzuminus","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"syilx","Syilx","https://firstvoices.com/syilx","Nsyilxcən"
"tahltan","Tāłtān","https://firstvoices.com/tahltan","Tāłtān"
"tillicumlelum","Tillicum Lelum","https://firstvoices.com/tillicumlelum","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"tlaamin","Sliammon","https://firstvoices.com/tlaamin","Éy7á7juuthem"
"tla-o-qui-aht","ƛaʔuukʷiʔatḥ","https://firstvoices.com/tla-o-qui-aht","nuučaan̓uł"
"tlaoquiaht-ciqyakquukin","ƛaʔuukʷiʔatḥ ciqyakquukin","https://firstvoices.com/tlaoquiaht-ciqyakquukin","nuučaan̓uł"
"tlazten-dakelh","Tl'azt'en-ne Bughuni","https://firstvoices.com/tlazten-dakelh","Dakelh"
"tsaa-dane-beaver","Tsaaʔ Dane - Beaver People","https://firstvoices.com/tsaa-dane-beaver","Dane-Ẕaa"
"tsekhene-mcleod","Tse'Khene (McLeod Lake)","https://firstvoices.com/tsekhene-mcleod","Tseʼkhene"
"tseshahtlanguage","c̕išaaʔatḥ","https://firstvoices.com/tseshahtlanguage","nuučaan̓uł"
"tsilhqotin-xeni-gwetin","Tsilhqot'in (Xeni Gwet'in)","https://firstvoices.com/tsilhqotin-xeni-gwetin","Tsilhqotʼin"
"witsuwiten","Witsuwit’en","https://firstvoices.com/witsuwiten","Nedutʼen / Witsuwitʼen"
"wuikala","’Wùik̓ala","https://firstvoices.com/wuikala","ʼWuik̓ala"
"xaad-kil-massett","x̱aad kil (Massett Haida)","https://firstvoices.com/xaad-kil-massett","X̱aad Kil / X̱aayda Kil"
"yekooche","Yekooche","https://firstvoices.com/yekooche","Dakelh"
