Site ID,Slug,FirstVoices Site Name,URL,Language Name,Language ID
"07a71e84-d920-42ba-aaff-dc4c2775736e","maskwacis-cree","ᒪᐢᑿᒋᐢ ᓀᐦᐃᔭᐍᐏᐣ  /  Maskwacis Cree","https://firstvoices.com/maskwacis-cree","nēhiyawēwin","2326173d-9d94-4fc0-808d-c81736d317e6"
"794c6d51-a8ec-4a57-ad91-93a586ee3b8c","nadleh-stella-whutenne","Nadleh-Stella Whut’enne","https://firstvoices.com/nadleh-stella-whutenne","Dakelh","e402aedd-d1af-46f0-b182-94d1eb1dd912"
"39d3c0df-c738-4740-8846-ca832449614f","nakazdli-dakelh","Nak’azdli Dakelh","https://firstvoices.com/nakazdli-dakelh","Dakelh","e402aedd-d1af-46f0-b182-94d1eb1dd912"
"12ead9f3-3d92-4ddd-bd51-8b5fafd46321","nakwala-gwatsala","'Nak̕wala & Gwat̕sala","https://firstvoices.com/nakwala-gwatsala","Kwak̕wala","3b01d8e8-5327-400c-bd85-c2ba86726485"
"7ec8a084-4509-4f15-bf81-74cf5f89dd44","neduten-lake-babine","Nedut’en (Lake Babine Nation)","https://firstvoices.com/neduten-lake-babine","Nedutʼen / Witsuwitʼen","3d9552da-a28e-4f24-b98b-c9c155c990bf"
"3fa236aa-9b6a-410a-9b42-5ec0c30d7396","nisgaa","Nisga'a","https://firstvoices.com/nisgaa","Nisg̱aʼa","7a04344e-562a-4752-818d-85a0186eb8f9"
"3d381fe6-48a7-48ff-866d-4995f60d92da","nkukwtsa-stlatlimx","Nkúkwtsa Stl'atl'imx","https://firstvoices.com/nkukwtsa-stlatlimx","St̓át̓imcets","339667a3-2ab5-4755-824d-fc3af5e25466"
"37401379-d0aa-4237-97db-a9ad6f173518","nlakapamuxcheen","Nlakapamuxcheen","https://firstvoices.com/nlakapamuxcheen","Nɬeʔkepmxcín","e7e726ab-ee13-49f1-9abd-1a51f4f93c9a"
"f04033df-4528-49fb-82b0-fbd5b634ea9c","nlekepmxcin","nɬeʔkepmxcin","https://firstvoices.com/nlekepmxcin","Nɬeʔkepmxcín","e7e726ab-ee13-49f1-9abd-1a51f4f93c9a"
"f1781556-fa49-4231-bbdc-4822562b0032","northern-statimcets","Northern St̓át̓imcets","https://firstvoices.com/northern-statimcets","St̓át̓imcets","339667a3-2ab5-4755-824d-fc3af5e25466"
"0cd56401-05c4-41c0-b270-89e6afaa058a","nsyilxcen","nsyilxcən","https://firstvoices.com/nsyilxcen","Nsyilxcən","e6c8f8d2-29e1-4917-a077-a3408a07ae11"
"85a60737-c7c9-4839-98d3-50cc2f5ea4b7","nuu-chah-nulth-barkley","Nuu-chah-nulth (Barkley)","https://firstvoices.com/nuu-chah-nulth-barkley","nuučaan̓uł","05991650-531f-4880-a441-124c523cb934"
"51f0838e-9b1a-4474-9191-00d02655dcd9","nuxalk","Nuxalk","https://firstvoices.com/nuxalk","Nuxalk","feb6991f-6414-481d-8e8d-a1f906579028"
