pair,count
ax̣,266
lg̱,265
xg,265
EȽ,264
ry,264
g̱e,263
ob,263
sp̓,263
sḵ,263
t̓u,263
tᶿ,263
éd,263
(s,262
Al,262
l̓q,262
m̓ə,262
nx̌,262
q̓á,262
uḥ,262
ƛ̓ə,262
ic̓,261
t̓á,261
éḵ,261
a),260
dr,260
lk̓,260
o’,260
ue,260
’m,260
ha̱,259
ót,259
ʔk,259
",e",258
dā,258
əɬ,258
L¸,257
ɂe,257
ᶿa,257
ṯs̲,257
w̓e,256
x̣ʷ,256
x̌i,255
xá,254
āt,254
au,253
i?,253
ya̱,253
ēt,253
ən̓,253
ɬə,253
Se,252
xa̱,252
əd,252
ɛy,252
zé,251
ɛg,251
",a",250
-b,250
7u,250
Sh,250
uč,250
áw̓,250
Di,249
nā,249
a̱t,248
dł,248
n),248
x̱t,248
én̓,248
ēh,248
ʔn,248
θɛ,248
ST,247
t̓s,247
ix̱,246
m?,246
oj,245
ēy,245
īn,245
"I,",244
x̱é,244
ḥs,243
7c,242
EW̱,242
uǂ,242
áq̓,242
c’,241
iḵ,241
td,241
ám̓,241
ól,241
br,240
c̓o,240
e),240
hh,240
hj,240
n7,240
q̓v,240
ʼs,240
ᶻi,240
s̲’,239
uẕ,239
wq,239
ıh,238
əq̓,238
ḵ-,238
(t,237
¢i,237
ł.,237
EḴ,236
av,236
h?,236
ló,236
t̕i,236
xh,236
iv,235
ox̱,235
tɛ,235
c.,234
np,234
s),234
s̲u,234
yj,234
ád,234
my,233
m̓e,233
t̕ł,233
x̱h,233
xé,232
Me,231
"i,",231
zú,231
əč,231
Gw,229
qš,229
ǥa̱,229
x̣a,228
ł',228
W̱E,227
za̱,227
"Á,",227
ēk,227
łc,227
əy̓,227
(n,226
n!,226
zd,226
ḵ̓a̱,226
Oo,225
íp,225
aˈ,224
dm,224
iá,224
ŦE,224
g̱u,223
yā,223
éw̓,223
ǰɛ,223
áḵ,222
’l,222
cq,221
ró,221
u’,221
ʔá,221
Ga,220
rʼ,220
tó,220
x̱',220
ën,220
e-,219
kó,219
n̓ə,219
og̱,219
s̓a,219
tŝ,219
w̕-,219
",0",218
KE,218
La,218
l̓i,218
é',218
úq,218
łs,218
a̱ł,217
hä,217
tʔ,217
wy,217
kq,216
k̓á,216
lx̌,216
rn,216
:y,215
Tl,215
ew̓,215
:m,214
An,214
m̓t,214
ša,214
’ú,214
ep̓,213
ey̓,213
"p,",213
ph,213
ta̱,213
łn,213
ǧv,213
Ya,212
aⱡ,212
gl,212
nó,212
oχ,212
pē,212
ᶿo,212
n̓s,211
á',211
əǧ,211
ɛθ,211
h7,210
iq̓,210
i·,210
k̕w,210
tp,210
əw̓,210
ɛp,210
ᶻa,210
"L,",209
à:,209
šɛ,208
ɛx,208
.g,207
xy,207
zt,207
ʷn,207
ḷá,207
cʼ,206
ƛs,206
ḵh,206
IL,205
cp,205
dï,205
ka̱,205
lı,205
nt̓,205
"o,",205
p̓e,205
ík̓,205
EX,204
nx̱,204
x̱a̱,204
úg,204
'x̱,203
Es,203
kc,203
mg̱,203
θa,203
cr,202
hɛ,202
lx̱,202
pd,202
y̓h,202
ɛɬ,202
ᶿɛ,202
cé,201
ǂu,201
hà,200
t̓h,200
uƛ,200
w̓ə,200
ƛʔ,200
Su,199
dy,199
łc̓,199
oa,197
q̓í,197
ło,197
rá,196
t́ᶿ,196
G̱a,195
p̓u,195
s̲',195
tx̱,195
uq̓,195
yó,195
ìi,195
ʷʔ,195
7m,194
xk,194
ət̓,194
ɛt̓,194
SI,193
it̕,193
mā,193
gn,192
ts̱,192
ɛχ,192
I¸,191
Li,191
gá,191
hı́,191
sē,191
ʔq,191
EL̵,190
Gu,190
mē,190
pr,190
sɛ,190
té,190
ḥt,190
’ā,190
",N",189
yɩ,189
é:,189
ʔú,189
'U,188
gü,188
xq,188
E¸,187
Ke,187
TW̱,187
gé,187
n̓k,187
ąy,187
ḥʔ,187
’k,187
dı,186
íl̓,186
ʼt,186
aƛ̓,185
nb,185
tḥ,185
wł,185
ı́h,185
ʔé,185
et̓,183
é7,183
ém̓,183
-p,182
íʔ,182
əχ,182
:s,181
i:,181
l7,181
m̓u,181
nc̓,181
rd,181
sč,181
d.,180
dı́,180
sx̱,180
áy̓,180
ḵa̱,180
oi,179
pc,179
p̓á,179
q.,179
q̓m,179
up̓,179
íḵ,179
ḵi,179
ẕu,179
a:,178
ck̓,178
w̓t,178
QE,177
ʷú,177
(k,176
dī,176
k̓ú,176
q’,176
ÁN,176
ōw,176
eo,175
g̱i,175
k̓a̱,175
ng̱,175
wt̓,175
yd,175
àn,175
ɬč,175
Ba,174
Be,174
a̱b,174
ig̱,174
k?,174
k̓l,174
qp,174
ᶻu,174
Hi,173
Qw,173
Á¸,173
éʔ,173
χɛ,173
m̓.,172
ág,172
Ho,171
dē,171
ip̓,171
iʼ,171
wx,171
ʼʷ,171
c̓e,170
pp,170
q̓t,170
OL,169
iƛ̓,169
ȽE,169
'p,168
EW,168
gs,168
sj,168
ɬt,168
ɬɛ,168
Mi,167
h̕é,167
w̕é,167
áz,167
ʊm,167
’.,167
a̱p,166
lq̓,166
vú,166
xo,166
ƛɛ,166
ʔł,166
HI,165
Pe,165
iⱡ,165
mʔ,165
ïn,165
ǧi,165
əθ,165
Hu,164
só,164
xb,164
y̓t,164
əl̓,164
əƛ,164
úh,163
úk̓,163
ƛo,163
e?,162
oz̓,162
z̓a,162
àa,162
ʔp,162
Bu,161
"N,",161
ät,161
āp,161
x-,160
áx̱,160
éx̱,160
aǰ,159
fl,159
k-,159
nı́,159
ƛ̕i,159
ḵé,159
ut̓,158
uy̓,158
xí,158
ët,158
:',157
\c,157
qʼ,157
w?,157
ǥw,157
as̲,156
m̓c,156
o\,156
tš,156
tḵ,156
yq,156
ȾE,156
’w,156
IE,155
Ks,155
NÁ,155
WE,155
kp,155
sǧ,155
əc̓,155
ɩt,155
Ḵ',155
’U,155
.a,154
a̱w,154
n̓e,154
áx̌,154
ég,154
ék̓,154
łx,154
pw,153
py,153
ré,153
s̲i,153
wó,153
ŝi,153
šu,153
fa,152
hb,152
sc̓,152
x̱g,152
y̓ə,152
ƛm,152
ɩš,152
ʔ.,152
X̱E,151
lj,151
q̓ú,151
èe,151
él,150
vl,150
ʼà,150
áu,149
č.,149
ʼm,149
χo,149
Wh,148
uʼ,148
á’,148
ḰE,148
'g,147
dj,147
qú,147
í.,147
ḵ̕w,147
DE,146
pm,146
sł,146
t̓o,146
íw̓,146
ʷl,146
_s,145
cy,145
l̓s,145
¢u,145
ʼo,145
(e,144
mw,144
pɛ,144
s̓á,144
ḥu,144
)[,143
"S,",143
hì,143
hʔ,143
mḵ,143
sā,143
ïl,143
ə‿,143
TS,142
rm,142
xc,142
ḵe,142
:i,141
Dz,141
Yu,141
ók,141
úl̓,141
ɬ.,141
ʔy,141
*s,140
.w,140
IN,140
fr,140
s̓x,140
un̓,140
ÁT,140
íq̓,140
ʼu,140
JE,139
a̱ḵ,139
dn,139
mx̱,139
tk̓,139
zk,139
θi,139
"O,",138
Ut,138
k̓é,138
èn,138
ʼk,138
",i",137
c7,137
mʼ,137
m̓s,137
qḥ,137
ák̓,137
ìn,137
ʼə,137
NO,136
Ng,136
OS,136
əp̓,136
ʷí,136
’ī,136
",1",135
NS,135
Sk,135
rí,135
s̲e,135
IT,134
TO,134
gó,134
k̓í,134
¢a,134
éy̓,134
uḵ,133
yp,133
ŚE,133
",n",132
l̓u,132
n̓l,132
ée,132
ƛ̕a,132
ʊk,132
‘u,132
IS,131
Mu,131
Nt,131
W¸,131
Xw,131
án,131
gú,131
kx,131
mt̓,131
s!,131
uá,131
x̱i,131
āh,131
šʔ,131
LÁ,130
dè,130
fe,130
kd,130
kǂ,130
nč,130
r.,130
t‍,130
eẑ,129
gí,129
xp,129
x̱u,129
úy̓,129
λa,129
O¸,128
l̓k,128
pg,128
qʔ,128
uc̓,128
x̱d,128
ëk,128
íd,128
łq,128
'ı,127
N¸,127
cʔ,127
c̕i,127
ov,127
oθ,127
x̌ƛ,127
č̓ɩ,127
ɬo,127
'ë,126
c-,126
ev,126
hz,126
íi,126
"u,",126
x̌u,126
ʔ_,126
ʔl,126
’d,126
ⱡa,126
-x̱,125
7q,125
LI,125
YE,125
mš,125
qǂ,125
t),125
yʼ,125
'c,124
hǫ,124
qk,124
rh,124
və,124
él̓,124
úd,124
ām,124
ƛe,124
ɩč,124
Cw,123
HE,123
TI,123
hè,123
né,123
nè,123
ʊx,123
Ki,122
M¸,122
aŝ,122
c̕u,122
e_,122
of,122
t̓x,122
xc̓,122
èh,122
əb,122
Ja,121
NI,121
"T,",121
hë,121
iǧ,121
zí,121
·q,121
ƛq,121
ɛ.,121
ɛk,121
‿c,121
ul̓,120
wg,120
hā,119
tx̣,119
é’,119
ʷé,119
As,118
cē,118
ié,118
u?,118
úw,118
‿k,118
7k,117
LU,117
Nd,117
Ye,117
mk̓,117
nà,117
tj,117
ḵá,117
Pa,116
t̓í,116
ʼx,116
’y,116
Ti,115
dd,115
h),115
hò,115
pa̱,115
íi,115
íɫ,115
ül,115
ın,115
ʼ.,115
At,114
iẕ,114
l̓m,114
pʔ,114
sx̌,114
vu,114
zn,114
áz̓,114
ǫh,114
‿n,114
Hl,113
Le,113
t̓ɛ,113
àh,113
čk,113
ēn,113
ı̨h,113
ǥa,113
En,112
én,112
nḥ,112
n‿,112
s̲.,112
x̱b,112
íg,112
òo,112
úz,112
ə̀n,112
ʼl,112
bá,111
dì,111
i¢,111
nì,111
s̱’,111
āc,111
ʔw,111
"0,",110
EQ,110
"c,",110
l̓c,110
mɩ,110
t̓m,110
t̓ú,110
ut̲,110
yb,110
ᶻo,110
ṮE,110
",y",109
az̓,109
íl,109
jɩ,109
ox̌,109
s̲a,109
x̌t,109
áʔ,109
čt,109
Ny,108
ff,108
ol̓,108
q̓l,108
t̕u,108
úx̌,108
cx,107
d̲ẕ,107
es̱,107
if,107
k̓t,107
mō,107
sí,107
s̱e,107
uɬ,107
š.,107
ɨs,107
'ł,106
",j",106
Tu,106
rk,106
sr,106
y̓s,106
óq,106
ós,106
łb,106
ʊn,106
ḵ̓a,106
’c,106
",Á",105
IṈ,105
ae,105
ió,105
o-,105
wʼ,105
éz,105
éł,105
ād,105
łd,105
łp,105
OṈ,104
qc,104
w̓á,104
x̱o,104
ēp,104
łš,104
ǂn,104
-q,103
C',103
PE,103
W̱S,103
Yi,103
c̕a,103
l?,103
lī,103
s̲d,103
EK,102
SÁ,102
ač̓,102
c',102
eɂ,102
g̱w,102
k̓s,102
kḥ,102
l̕-,102
rc,102
sy̓,102
wé,102
x̱á,102
ıd,102
ōs,102
ə̀l,102
ʕʷ,102
ʷ?,102
No,101
ez̓,101
l̓‿,101
të,101
yw,101
y̕a,101
ÁĆ,101
ȻÁ,101
hı̨,100
ín,100
lɛ,100
lʔ,100
o7,100
t7,100
yà,100
íx̱,100
ʔE,100
’ē,100
)s,99
",H",99
n̓c,99
s̓q,99
t̕e,99
ví,99
vḷ,99
w̕á,99
ĆÁ,99
šx,99
ʕu,99
Ah,98
aǥ,98
ít,98
sō,98
wà,98
əl̕,98
ə̀m,98
ʼá,98
‍s,98
(a,97
(m,97
s̕-,97
t̓,97
xp̓,97
ïz,97
ɛl,97
ʔc,97
NT,96
a],96
ex̌,96
pš,96
úu,96
xú,96
y?,96
íp̓,96
'A,95
-7,95
-j,95
EJ,95
EP,95
bs,95
fu,95
m̓x,95
pé,95
px̱,95
ut̕,95
u′,95
äk,95
ìì,95
ḵí,95
.n,94
Ay,94
kk,94
lv,94
lï,94
mx̌,94
u·,94
"x,",94
x̌λ,94
yʔ,94
¢̕i,94
ŚW̱,94
"Ȼ,",94
(d,93
In,93
ál,93
k7,93
n̓.,93
t̕a̱,93
ōn,93
ŝe,93
ǰɩ,93
ɛh,93
",I",92
Ku,92
k̕ʷ,92
p̓a̱,92
p̓ɛ,92
sƛ,92
tq̓,92
t̓é,92
ëd,92
",v",91
ak̕,91
qy,91
rw,91
s_,91
yx̱,91
zy,91
ít̓,91
-ʔ,90
".""",90
7p,90
_t,90
a̱y,90
eŝ,90
lá,90
oy̓,90
rp,90
x7,90
xƛ,90
zó,90
¸I,90
áá,90
ĆI,90
šƛ,90
"ʷ,",90
‘a,90
'ı̨,89
-x,89
Et,89
Kh,89
We,89
dà,89
és,89
kō,89
kɛ,89
k̓ł,89
m̓á,89
nä,89
ug̱,89
x̱l,89
úm̓,89
āy,89
č̓ɛ,89
ʼä,89
"5,",88
EḰ,88
c̓ú,88
hł,88
lt̓,88
mó,88
np̓,88
q7,88
zr,88
át̓,88
č̓u,88
čḥ,88
ēd,88
ǂk,88
ʷc,88
ˈs,88
Ṉ¸,88
LO,87
Th,87
iˈ,87
k̕a,87
p̓é,87
sı,87
t_,87
u‿,87
¸S,87
í-,87
ƛḥ,87
ɩs,87
ʷy,87
is̲,86
mḥ,86
m’,86
s̓é,86
t̓l,86
uz̲,86
ác̓,86
éq̓,86
ït,86
ƛ̓e,86
'-,85
Gy,85
IȽ,85
SȻ,85
T̸E,85
h!,85
lǧ,85
íx̌,85
šč,85
ʼy,85
Ak,84
eg̱,84
hę,84
m̓l,84
ìt,84
óy,84
ı́e,84
ḴÁ,84
EŦ,83
So,83
SĆ,83
Us,83
af,83
bé,83
g̱m,83
hà,83
hō,83
n_,83
nr,83
n̓x,83
nẕ,83
rb,83
uǧ,83
wí,83
àl,83
àt,83
ǧu,83
əʼ,83
’ó,83
",L",82
Am,82
ET̸,82
SO,82
"U,",82
e:,82
i],82
iɬ,82
m7,82
oe,82
y̓á,82
¸Á,82
áǧ,82
ʊt,82
ʼì,82
ḵu,82
(w,81
",""",81
a¢,81
g̱n,81
h̕í,81
nn̓,81
oǰ,81
pā,81
sθ,81
äl,81
è’,81
ël,81
ẑi,81
ẕ.,81
Ts̓,80
a̱h,80
es̲,80
ft,80
l̓á,80
·n,80
òn,80
út̓,80
ı́t,80
ƛ̓á,80
ƛ̕u,80
ɂa,80
ɛš,80
ɩg,80
7w,79
g̓w,79
n̓á,79
wɬ,79
y̓k,79
í',79
ím̓,79
ē.,79
ǰu,79
ʕá,79
ʷá,79
ʷč,79
ḥm,79
'I,78
:q,78
Aw,78
Ca,78
Uk,78
c̓á,78
e],78
lm̓,78
nƛ,78
n̓m,78
st̕,78
út,78
w̕e,78
w̕í,78
á.,78
č’,78
ɩx,78
ʼë,78
ḷa,78
10,77
"7,",77
Ji,77
eʼ,77
ét,77
iẑ,77
k̕u,77
p̓s,77
qx,77
t̓q,77
uč̓,77
ús,77
zï,77
á-,77
éʼ,77
ìh,77
ùu,77
ēc,77
ɬi,77
ʔx̣,77
.u,76
Sp,76
Tr,76
Ul,76
iʕ,76
l̕e,76
sš,76
s̓ú,76
ux̣,76
¸T,76
ïs,76
óm,76
łé,76
ɬq,76
ʷł,76
ʷθ,76
λə,76
ṇt,76
.5,75
TÁ,75
h̕á,75
k¢,75
ot̓,75
q̓é,75
r-,75
và,75
w̕ú,75
ÍE,75
ʔx̌,75
ʷc̓,75
ḵ̓i,75
‘i,75
Tx,74
ef,74
ht̲,74
hù,74
ix̣,74
om̓,74
sé,74
s̲t,74
uˈ,74
x̣s,74
x̣t,74
ä̀t,74
íc̓,74
čo,74
łk̓,74
ʔ-,74
(p,73
Ge,73
Sg̱,73
SḴ,73
Ud,73
X̱I,73
dä,73
