pair,count
ts,24073
lh,17713
an,17659
in,16772
aa,16486
la,14999
en,13840
al,13670
na,12895
st,12227
wa,12003
kw,11911
ii,11609
as,10757
at,10673
it,10528
ha,10455
il,10136
si,9984
is,9853
sa,9709
'a,9689
el,9592
ni,9379
wi,9339
ay,9304
ta,9249
ma,9108
oo,9036
da,8575
ya,8234
ak,8195
te,8165
un,7992
we,7908
ga,7795
ut,7756
uu,7457
et,7453
ka,7295
ul,7291
li,7252
hl,7227
s',7133
di,7121
ne,6954
am,6892
ch,6718
nt,6664
ʔa,6549
us,6508
es,6363
le,6335
əm,6245
aw,6235
nu,6205
xw,6184
hu,6178
se,6174
xʷ,6093
'i,5987
ʔi,5839
em,5817
ah,5764
ik,5738
a',5673
ti,5650
t',5642
ks,5601
ng,5572
aʔ,5436
id,5420
uk,5366
hi,5317
sk,5260
kʷ,5252
mi,5203
gi,5107
on,4958
'e,4925
he,4864
im,4800
th,4646
su,4640
cw,4602
ht,4569
'u,4496
əl,4450
aq,4437
me,4436
yu,4431
ad,4420
qw,4400
ba,4308
ʷa,4304
ax,4277
ih,4205
sh,4197
du,4155
ap,4136
ən,4078
um,4022
ho,3994
ag,3992
ye,3911
nd,3908
qa,3865
ns,3855
lu,3832
tu,3815
ee,3800
gu,3796
k',3760
g̱a,3756
iy,3748
ke,3700
de,3685
yi,3676
n.,3608
ot,3572
gh,3555
gw,3550
lt,3448
tl,3380
eh,3364
ll,3359
ki,3357
t.,3334
ud,3306
ʷə,3282
a.,3281
pa,3275
iʔ,3237
s.,3221
ar,3188
ed,3150
'o,3084
ał,3025
qʷ,3005
ek,3002
wh,2969
dz,2911
hk,2900
h.,2878
ai,2858
ál,2835
ił,2823
’u,2813
ol,2763
ła,2757
mu,2747
ra,2742
ig,2721
tk,2654
oh,2635
’a,2627
t’,2612
wu,2529
ac,2524
w',2508
er,2499
bi,2491
tə,2479
ic,2455
l',2445
e',2442
ʔu,2382
rr,2381
ec,2370
ws,2368
ug,2351
os,2342
wt,2327
sg,2291
ʷi,2277
’e,2276
lo,2270
ex,2263
to,2258
i',2225
s’,2221
nk,2220
ḵ',2214
pi,2152
pe,2151
ey,2147
h',2147
a̱n,2141
ix,2140
s-,2138
-t,2121
’i,2106
sm,2089
ls,2087
bu,2080
i.,2062
sə,2029
ku,2012
sq,2008
"e,",2007
ux,2004
'n,2003
xa,2002
lk,1999
k’,1992
a7,1977
m-,1958
uy,1951
ca,1940
él,1923
k̓ʷ,1909
iw,1902
sd,1887
up,1884
ms,1877
ip,1876
wá,1856
xs,1837
no,1824
ín,1824
ʔə,1819
EL,1815
ny,1814
a̱l,1787
ax̱,1781
tn,1771
eq,1761
re,1755
be,1751
"s,",1743
wé,1738
án,1737
uw,1735
ge,1729
íl,1728
əs,1722
ab,1703
sn,1685
át,1681
tx,1677
nl,1657
ja,1648
od,1640
ce,1637
iq,1633
ur,1628
ít,1618
qu,1599
sc,1598
ok,1592
nh,1589
sp,1589
ci,1585
ts̓,1581
én,1570
ri,1555
mo,1553
qs,1547
a’,1530
ew,1529
lá,1518
EN,1513
há,1511
lc,1510
so,1505
wí,1503
x̱w,1503
'w,1502
sl,1500
qe,1496
eg,1495
eʔ,1472
nə,1443
lg,1438
uʔ,1432
sx,1420
gy,1419
ná,1416
uh,1415
wl,1414
iš,1413
ld,1403
"n,",1399
go,1397
úl,1395
ač,1385
o',1380
ƛa,1379
a-,1375
ét,1371
uq,1365
'y,1360
Ts,1357
ck,1352
ús,1346
té,1345
-a,1343
wa̱,1341
a̱m,1340
aḵ,1336
sw,1336
'm,1335
iƛ,1335
ep,1324
lx,1310
qi,1307
ji,1288
om,1285
k̓a,1284
"t,",1283
'l,1279
pu,1278
't,1274
ət,1274
yo,1270
út,1264
aƛ,1263
uc,1262
's,1249
ow,1243
y̓a,1243
mt,1240
sí,1240
ze,1240
tt,1239
hé,1236
kt,1236
dl,1229
xe,1225
qə,1217
7a,1215
e.,1205
a̱x,1204
ps,1196
či,1192
ém,1190
nc,1189
uz,1170
né,1168
