Base Character,Variant
"a","A"
"a̱","A̱"
"b","B"
"ch","Ch"
"ch'","Ch'"
"d","D"
"dl","Dl"
"dz","Dz"
"e","E"
"e̱","E̱"
"g","G"
"gh","Gh"
"h","H"
"i","I"
"i̱","I̱"
"j","J"
"k","K"
"k'","K'"
"kh","Kh"
"kw","Kw"
"kw'","Kw'"
"l","L"
"lh","Lh"
"m","M"
"n","N"
"o","O"
"o̱","O̱"
"s","S"
"sh","Sh"
"t","T"
"t'","T'"
"tl","Tl"
"ts","Ts"
"ts'","Ts'"
"oo","Oo"
"o̱o̱","O̱o̱"
"u","U"
"u̱","U̱"
"w","W"
"y","Y"
"z","Z"
"ẕ","Ẕ"
