Base Character, Variant
"a","A"
"aa","Aa"
"b","B"
"d","D"
"e","E"
"ee","Ee"
"g","G"
"gw","Gw"
"g̱","G̱"
"h","H"
"hl","Hl"
"i","I"
"ii","Ii"
"j","J"
"k","K"
"k'","K'"
"kw","Kw"
"kw'","Kw'"
"ḵ","Ḵ"
"ḵ'","Ḵ'"
"l","L"
"'l","'L"
"m","M"
"'m","'M"
"n","N"
"'n","'N"
"o","O"
"oo","Oo"
"p","P"
"p'","P'"
"s","S"
"t","T"
"t'","T'"
"tl'","Tl'"
"ts","Ts"
"ts'","Ts'"
"u","U"
"uu","Uu"
"w","W"
"'w","'W"
"x","X"
"xw","Xw"
"x̱","X̱"
"y","Y"
"'y","'Y"
