Base Character,Variant
"a","A"
"ā","Ā"
"c","C"
"e","E"
"ē","Ē"
"h","H"
"i","I"
"k","K"
"l","L"
"m","M"
"n","N"
"o","O"
"ō","Ō"
"p","P"
"s","S"
"t","T"
"w","W"
"y","Y"
