Sort Order,Character,Approximate Latin Form(s)
"1","a",""
"2","ā",""
"3","c",""
"4","e",""
"5","ē",""
"6","h",""
"7","i",""
"8","k",""
"9","l",""
"10","m",""
"11","n",""
"12","o",""
"13","ō",""
"14","p",""
"15","s",""
"16","t",""
"17","w",""
"18","y",""
