Base Character,Variant
"a","A"
"á","Á"
"ah","Ah"
"c","C"
"cw","Cw"
"e","E"
"é","É"
"g","G"
"gw","Gw"
"g̓w","G̓w"
"h","H"
"i","I"
"í","Í"
"k","K"
"kw","Kw"
"k̓","K̓"
"k̓w","K̓w"
"l","L"
"l̓","L̓"
"ll","Ll"
"m","M"
"m̓","M̓"
"n","N"
"n̓","N̓"
"o","O"
"ó","Ó"
"p","P"
"p̓","P̓"
"q","Q"
"qw","Qw"
"q̓","Q̓"
"q̓w","Q̓w"
"r","R"
"r̓","R̓"
"s","S"
"t","T"
"ts","Ts"
"t̓","T̓"
"ts̓","Ts̓"
"u","U"
"ú","Ú"
"w","W"
"w̓","W̓"
"x","X"
"xw","Xw"
"y","Y"
"y̓","Y̓"
