Base Character,Variant
"a","A"
"a̱","A̱"
"b","B"
"d","D"
"dł","Dł"
"dz","Dz"
"e","E"
"g","G"
"gw","Gw"
"g̱","G̱"
"g̱w","G̱w"
"h","H"
"i","I"
"k","K"
"kw","Kw"
"k̓","K̓"
"k̕w","K̕w"
"ḵ","Ḵ"
"ḵw","Ḵw"
"ḵ̓","Ḵ̓"
"ḵ̕w","Ḵ̕w"
"l","L"
"ł","Ł"
"m","M"
"n","N"
"o","O"
"p","P"
"p̓","P̓"
"s","S"
"t","T"
"t̓","T̓"
"ts","Ts"
"t̕s","T̕s"
"tł","Tł"
"t̕ł","T̕ł"
"u","U"
"w","W"
"x","X"
"xw","Xw"
"x̱","X̱"
"x̱w","X̱w"
"y","Y"
