Base Character,Variant
"a","A"
"aa","Aa"
"b","B"
"d","D"
"e","E"
"ee","Ee"
"g","G"
"g̱","G̱"
"gw","Gw"
"h","H"
"hl","Hl"
"i","I"
"ii","Ii"
"j","J"
"k","K"
"k'","K'"
"ḵ","Ḵ"
"ḵ'","Ḵ'"
"kw","Kw"
"kw'","Kw'"
"l","L"
"l̓","L̓"
"m","M"
"m̓","M̓"
"n","N"
"n̓","N̓"
"o","O"
"oo","Oo"
"p","P"
"p'","P'"
"s","S"
"t","T"
"t'","T'"
"tl'","Tl'"
"ts","Ts"
"ts'","Ts'"
"u","U"
"uu","Uu"
"w","W"
"w̓","W̓"
"x","X"
"x̱","X̱"
"xw","Xw"
"y","Y"
"y̓","Y̓"
