Base Character,Variant
"a","A"
"ch","Ch"
"ch’","Ch’"
"d","D"
"dl","Dl"
"dz","Dz"
"g","G"
"gw","Gw"
"g̱","G̱"
"g̱w","G̱w"
"h","H"
"i","I"
"j","J"
"k","K"
"ḵ","Ḵ"
"ḵw","Ḵw"
"ḵ’","Ḵ’"
"ḵ’w","Ḵ’w"
"l","L"
"n","N"
"s","S"
"s’","S’"
"sh","Sh"
"t","T"
"t’","T’"
"tl","Tl"
"tl’","Tl’"
"ts","Ts"
"ts’","Ts’"
"oo","Oo"
"óo","ó"
"w","W"
"x","X"
"xw","Xw"
"x’","X’"
"x’w","X’w"
"x̱","X̱"
"x̱w","X̱w"
"x̱’","X̱’"
"x̱’w","X̱’w"
"y","Y"
"ÿ","Ÿ"
