Base Character,Variant
"a","A"
"á","Á"
"c","C"
"c̓","C̓"
"c̣","C̣"
"e","E"
"é","É"
"ə","Ə"
"ə́","Ə́"
"ə̣","Ə̣"
"ɣ","Ɣ"
"ɣ̓","Ɣ̓"
"h","H"
"i","I"
"í","Í"
"ị","Ị"
"k","K"
"k̓","K̓"
"kʷ","Kʷ"
"k̓ʷ","K̓ʷ"
"l","L"
"ḷ","Ḷ"
"l̓","L̓"
"ɬ","Ɬ"
"m","M"
"m̓","M̓"
"n","N"
"n̓","N̓"
"ó","Ó"
"p","P"
"p̓","P̓"
"q","Q"
"q̓","Q̓"
"qʷ","Qʷ"
"q̓ʷ","Q̓ʷ"
"s","S"
"ṣ","Ṣ"
"t","T"
"t̓","T̓"
"u","U"
"ú","Ú"
"w","W"
"w̓","W̓"
"x","X"
"xʷ","Xʷ"
"x̣","X̣"
"x̣ʷ","X̣ʷ"
"y","Y"
"y̓","Y̓"
"z","Z"
"z̓","Z̓"
