Base Character,Variant
"a","A"
"b","B"
"c","C"
"c'","C'"
"d","D"
"dl","Dl"
"dz","Dz"
"e","E"
"ee","Ee"
"g","G"
"gh","Gh"
"gw","Gw"
"h","H"
"i","I"
"j","J"
"k","K"
"k'","K'"
"kh","Kh"
"kw","Kw"
"kw'","Kw'"
"l","L"
"lh","Lh"
"m","M"
"'m","'M"
"n","N"
"'n","'N"
"o","O"
"s","S"
"t","T"
"t'","T'"
"tl","Tl"
"tl'","Tl'"
"ts","Ts"
"ts'","Ts'"
"u","U"
"w","W"
"wh","Wh"
"y","Y"
"yh","Yh"
"z","Z"
