Base Character,Variant
"a","A"
"á","Á"
"aa","Aa"
"áa","Áa"
"b","B"
"d","D"
"dl","Dl"
"ee","Ee"
"ée","Ée"
"g","G"
"g̱","G̱"
"h","H"
"hl","Hl"
"i","I"
"í","Í"
"ii","Ii"
"íi","Íi"
"j","J"
"k","K"
"k'","K'"
"ḵ","Ḵ"
"ḵ'","Ḵ'"
"l","L"
"m","M"
"n","N"
"ng","Ng"
"p","P"
"s","S"
"t","T"
"t'","T'"
"tl","Tl"
"tl'","Tl'"
"ts","Ts"
"ts'","Ts'"
"u","U"
"ú","Ú"
"uu","Uu"
"úu","Úu"
"w","W"
"'w","'W"
"x","X"
"x̱","X̱"
"y","Y"
"'y","'Y"
