Base Character,Variant
"a","A"
"b","B"
"c","C"
"c’","C’"
"d","D"
"dz","Dz"
"e","E"
"ë","Ë"
"g","G"
"gg","Gg"
"gh","Gh"
"gw","Gw"
"h","H"
"i","I"
"ï","Ï"
"k","K"
"k’","K’"
"kh","Kh"
"kw","Kw"
"kw’","Kw’"
"l","L"
"lh","Lh"
"m","M"
"n","N"
"o","O"
"p","P"
"s","S"
"t","T"
"t’","T’"
"ts","Ts"
"ts’","Ts’"
"tl","Tl"
"tl’","Tl’"
"u","U"
"w","W"
"wh","Wh"
"y","Y"
"yh","Yh"
"z","Z"
