Base Character,Variant
"a","A"
"aa","Aa"
"c","C"
"cw","Cw"
"h","H"
"i","I"
"ii","Ii"
"k","K"
"k’","K’"
"kw","Kw"
"kw’","Kw’"
"l","L"
"lh","Lh"
"m","M"
"n","N"
"p","P"
"p’","P’"
"q","Q"
"q’","Q’"
"qw","Qw"
"qw’","Qw’"
"s","S"
"t","T"
"t’","T’"
"tl’","Tl’"
"ts","Ts"
"ts’","Ts’"
"u","U"
"uu","Uu"
"w","W̓"
"x","X"
"xw","Xw"
"y","Y"
