Base Character,Variant
"a","A"
"b","B"
"ch","Ch"
"ch'","Ch'"
"d","D"
"dl","Dl"
"dz","Dz"
"e","E"
"g","G"
"gh","Gh"
"gw","Gw"
"h","H"
"i","I"
"j","J"
"k","K"
"k'","K'"
"kh","Kh"
"kw","Kw"
"kw'","Kw'"
"l","L"
"lh","Lh"
"m","M"
"n","N"
"o","O"
"oo","Oo"
"s","S"
"sh","Sh"
"t","T"
"t'","T'"
"tl","Tl"
"tl'","Tl'"
"ts","Ts"
"ts'","Ts'"
"u","U"
"w","W"
"wh","Wh"
"y","Y"
"z","Z"
