Base Character,Variant
"ɂ","Ɂ"
"b","B"
"ch'","Ch'"
"d","D"
"dl","Dl"
"dz","Dz"
"f","F"
"g","G"
"gh","Gh"
"gw","Gw"
"h","H"
"j","J"
"k","K"
"k'","K'"
"l","L"
"ł","Ł"
"m","M"
"n","N"
"r","R"
"s","S"
"sh","Sh"
"tł'","Tł'"
"t","T"
"t'","T'"
"ts'","Ts'"
"w","W"
"w'","W'"
"x","X"
"y","Y"
"z","Z"
"zh","Zh"
